num_floor,unit_per_floor,price,age,statuse,view,doc_status,north,sought,west,east,floor,area,num_sleep,tel,kitch,service,floor_covering,open,parking,warehouse,balcony,equipment,address_encoded,room_to_area
3.0,2,36363636.36363637,12.0,6,22.0,3.0,1.0,0.0,0.0,0.0,3.0,55.0,1.0,1.0,50.0,10.0,10.0,1.0,0.0,1.0,0.0,3,45170175.37193248,0.01818181818181818
5.0,4,113402061.85567011,1.0,6,22.0,10.0,1.0,0.0,0.0,0.0,5.0,97.0,2.0,1.0,50.0,5.0,10.0,1.0,1.0,1.0,1.0,16,121218915.77181348,0.020618556701030927
5.0,2,139772727.27272728,12.0,6,22.0,10.0,1.0,0.0,0.0,0.0,3.0,88.0,2.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,0.0,16,105751044.75779854,0.022727272727272728
6.0,2,129032258.06451613,3.0,8,22.0,10.0,0.0,1.0,0.0,0.0,2.0,93.0,2.0,1.0,60.0,15.0,8.0,1.0,1.0,1.0,1.0,13,108847442.52098835,0.021505376344086023
4.0,3,120000000.0,0.0,8,22.0,10.0,1.0,0.0,0.0,0.0,1.0,114.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,0.0,18,106024331.41528513,0.017543859649122806
4.0,2,87037037.03703703,20.0,6,22.0,10.0,1.0,0.0,0.0,0.0,4.0,54.0,1.0,1.0,50.0,5.0,10.0,1.0,1.0,1.0,0.0,11,66641655.6314843,0.018518518518518517
4.0,3,106382978.72340426,30.0,6,10.0,10.0,0.0,1.0,0.0,0.0,4.0,94.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,5,105751044.75779854,0.02127659574468085
3.0,1,140000000.0,22.0,8,22.0,10.0,1.0,0.0,0.0,0.0,3.0,112.0,2.0,1.0,50.0,10.0,15.0,1.0,1.0,1.0,1.0,6,106024331.41528513,0.017857142857142856
5.0,4,140000000.0,0.0,6,22.0,10.0,1.0,0.0,0.0,0.0,2.0,135.0,3.0,1.0,0.0,15.0,15.0,1.0,1.0,1.0,0.0,18,138137584.84661886,0.022222222222222223
5.0,2,87234042.55319148,16.0,8,22.0,10.0,0.0,1.0,0.0,0.0,5.0,94.0,2.0,1.0,50.0,10.0,0.0,1.0,0.0,1.0,1.0,18,108847442.52098835,0.02127659574468085
4.0,1,92105263.15789473,20.0,6,22.0,10.0,1.0,0.0,0.0,0.0,3.0,76.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,0.0,6,106024331.41528513,0.02631578947368421
5.0,2,131250000.0,2.0,8,22.0,10.0,1.0,0.0,0.0,0.0,1.0,80.0,2.0,1.0,60.0,15.0,10.0,1.0,1.0,1.0,1.0,18,106024331.41528513,0.025
4.0,1,70833333.33333333,18.0,8,27.0,10.0,1.0,0.0,0.0,0.0,2.0,60.0,1.0,,50.0,5.0,10.0,1.0,1.0,1.0,0.0,5,103064918.83949274,0.016666666666666666
4.0,4,65000000.0,23.0,6,22.0,10.0,1.0,0.0,0.0,0.0,4.0,65.0,2.0,1.0,50.0,15.0,10.0,1.0,0.0,1.0,1.0,3,79625558.00754656,0.03076923076923077
4.0,1,140000000.0,8.0,6,22.0,10.0,1.0,0.0,0.0,0.0,2.0,126.0,3.0,1.0,50.0,15.0,15.0,1.0,1.0,1.0,1.0,16,132285783.98395123,0.023809523809523808
5.0,1,131250000.0,23.0,6,22.0,10.0,0.0,1.0,0.0,0.0,2.0,64.0,2.0,1.0,50.0,5.0,15.0,1.0,1.0,1.0,0.0,16,105751044.75779854,0.03125
5.0,3,79714285.71428572,10.0,8,22.0,10.0,1.0,0.0,0.0,0.0,2.0,70.0,1.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,0.0,16,90252304.54654068,0.014285714285714285
4.0,1,67708333.33333333,14.0,8,25.0,10.0,0.0,1.0,0.0,0.0,4.0,48.0,1.0,1.0,50.0,5.0,10.0,1.0,0.0,1.0,0.0,3,79625558.00754656,0.020833333333333332
5.0,2,140000000.0,0.0,8,22.0,10.0,1.0,0.0,0.0,0.0,1.0,131.0,2.0,0.0,0.0,15.0,10.0,0.0,1.0,1.0,0.0,13,138137584.84661886,0.015267175572519083
